ID,logID,byWho,comment,commentDate,deleted,response,responseDate
16,49,dessouky.a,Yes, the beam will also be modified to be adquete with the 2 ton crane,2/22/2012,-1,,
17,52,elsisy.aa,NA,2/23/2012,0,,
18,40,saadeldin.km,Conduct ergonomics study for changing forming sets , film repacement and end of line packing,2/23/2012,-1,,
19,38,saadeldin.km,Conduct ergonomics study for film replacement,2/23/2012,0,,
20,42,abdelkhalek.ma,the new pipe must be ST ST and need to insure cleaned and sanitized before working ,2/23/2012,0,,
21,39,hassan.hy,1- Please get official approval for MPD expert in such film and technology that this machine and this film can produce and not affecting on quality with this concerned speed.    2- In case of getting official approval, then we need to demonstrate on the line by issuing validation protocol and to be signed from QA, Operation and MPD before start.   3- The success criteria of this qualification should be not more that the current generated defect level 4- Adding this validation study to the PSG validation master plan before start.  5- Identify the new process centerline according to this speed and if there change update the PCS in PSG accordingly 6- Issue close out report and to be approved from same protocol approvers 7- Reassess end of line manual and automatic packing to ensure the number of contractors and line speed are fit for the manual packing process.,2/23/2012,0,,
22,60,medhat.am,approved ,2/23/2012,0,,
23,50,hassan.hy,Good Idea, 1 I need to clarify exactly its location 2- The screen should be hanged in a place allow cleaning and maintenance i.e. easy to reach no to be above equipment. 3- The screen should will not affect on the light intensity of the area.,2/23/2012,0,,
24,56,hassan.hy,Excellent Idea Please let me knwo if you need any support in  issuing the protocol 1- Issue Validation protocol. 2- Add this protocol in the PSG Validation Master Plan. 2-  After conducting the validation, summary report should be issued and approved from same protocol approvers . 4- Add the mechanical centerline in the concerned documents such as the PSC  ,3/1/2012,0,Hytham, Thanks, actually I need your help if you have the template of the protocol as I didn't get it from Essam before starting his business trip to Kenya ,3/5/2012
25,55,hassan.hy,We need to conduct a design review session. There are several clarifications needed I appreciate if you send an invitation and then we can provide the QA and Micro requiremenst.,2/23/2012,0,,
26,51,hassan.hy,1- Issue and approve EO plan. 2- Issue and approve technical standerds on CSS (IPS) allowing prointing the code as request in the EO Plan.  3- Clarify the reason behing having EG letters beside the production date.  4- Get Production team approval to perform this code. 5 Align with Legal team before execute. Their approval on the EO is required.,2/26/2012,0,,
27,38,hassan.hy,I need to see it on the floor before execution please contact me to have more clarification,2/23/2012,0,,
28,42,saadeldin.km,Need to conduct Ergonomics study for the maintenance of the feeder,2/25/2012,0,,
29,49,saadeldin.km,conduct ergonomics study while the operator is using the toe truck-buggy connection,2/25/2012,0,Done by Dr Cinderalla ,3/26/2012
30,55,saadeldin.km,We cannot install Tank beside the site border,2/25/2012,0,,
31,49,abdelmaksoud.mh,The beam modification needs to be done by a qualified designer and to check the overall building assessmnet with the behaviour of this beam.,2/26/2012,0,we are also checking with the assigned person (professor Metwally) if the desired spot to install the new beam is adquete,3/26/2012
32,64,abdelmaksoud.mh,My approval will follow the structure analysis shared by the structure consultant.,2/26/2012,-1,,
33,65,hassan.hy,In case of drilling a holes inside any storage area, this needs to be well sealed area ore emptying the materials or product surrounding to avoid contamination with dust generating during this process. The working area must be fully isolated. The isolation process needs to get QA clearance before start.,2/27/2012,0,,
34,69,osman.mm,mnbmnbmn,2/27/2012,-1,,
35,59,barakat.t,This need a building permit and no construction before permit, need drawings with full scope,2/27/2012,0,,
36,59,abdelmegid.i,this change will protect the staging materials not stored material    this shed will be infront of the Perfume WH,2/27/2012,0,,
37,59,ragab.ar,material should not be exposed to sunlight,2/27/2012,0,,
38,85,zarif.a,what is the physical change. ,2/29/2012,-1,,
39,89,hassan.hy,Same Materials GCAS number must be used and identification label must be kept of the pallet (SAP Label),3/4/2012,0,,
40,90,hassan.hy,1- EO Plant and EO FC's must be approved on CSS before start.    2- The attached EO plan have some points needs to be added such as segregation study and to be part of the success criteria 2- The EO plan showed 5 and 8 parts. we need to specify as per the FC. 3- Inform the initiative team and PSG team. 4- Issue operation documents for the EO and to be approved before start. part of this document is the PDR for PSG that should include the EO FC number. 5- The product status must be qurantine on SAP and this should be clarified before staring the EO. 6- Is there any change in the product specifications. Needs to be clarified. 7- The success criteria for dust and sifting has no go /no go criterial. This should be clarified in the success criteria part. i.e. if the level of packing quality (sifting) will exceeded the current defect level, then this should be No go.,4/4/2012,0,,
41,58,hassan.hy,1- we need to ensure that we will have same speed of the belt to avoid pushing more than one case to the checkweigher belt.,3/4/2012,0,,
42,76,elsisy.aa,The scop of project is not clear for me. please clarifay.,3/4/2012,0,,
43,90,mousa.ae,1 - EO is already approved. 2- Packing trials are said to be detailed by Plant in the EO. we will use standard success criteria for weight audit and OP 3 - EO has material balances attached on CSS with 5 and 8 DMS included. we will use 5 pts. 3- Done 4- No need for EO FC as the FC it self allow sulphate to be moved to Admix with R&D alignment. ,3/4/2012,0,4- we will issue making reason sheet. no change in packing standards 5- Done. product is already Q and first production is positive release,3/4/2012
44,81,salem.rs,Sherif Please Make sur that this change doesn't happen in the Month Of March,3/6/2012,0,,
45,98,salem.rs,Daoud you need to provide some pictures and explain more what exactly is the scope,3/6/2012,0,,
46,98,elsisy.aa,Every chinges with details are required,3/6/2012,0,,
47,97,elsayed.a.1,the Change in the new site ,3/6/2012,0,,
48,95,yasser.m,Isolate the Ipad 3 project stagying area by mech screen Barricades ,3/6/2012,-1,,
49,95,yasser.m,introduce the ,3/6/2012,-1,,
50,75,hassan.hy,Good idea, Please find below the QA requirements,3/7/2012,0,,
51,52,salem.rs,Please finalize the QA requirments,3/7/2012,0,,
52,99,yasser.m,Followup items not done, still not done, still not done too,3/15/2012,0,,
53,104,barakat.t,This needs a permit and for security we need to implment the gates standards to provide security service, please get back to Salama Ismail to get the requierments needed,3/9/2012,0,,
54,41,elsisy.aa,I didn't get the vendore data for new belts,3/12/2012,0,,
55,41,abdelkhalek.ma,i didnt get close out yet,3/15/2012,0,,
56,66,salem.rs,Chemical Clearance still needed,3/15/2012,0,,
57,77,elsisy.aa,I didn't get the updated P&ID include the new change. ,3/18/2012,0,,
58,52,yasser.m,I checked and found the followup items not done,3/18/2012,0,,
59,93,elsisy.aa,This area is classfied as zone 2 and free steame is sours of egnation that may lead to hazard of fire,3/18/2012,0,,
60,107,salem.rs,the guard desin is not contain the dust I need another design,3/19/2012,0,,
61,109,osman.mm,The only F/U  items Is to maintain the housekeeping after the work and not affecting the floor sealing of this area,3/19/2012,0,,
62,99,ghaly.ds,Wael Eid is doing it,3/20/2012,0,,
63,117,osman.mm,1- Maintain the area around this construction after finalizing this upgrade 2-communicate with Mohamed Darwish (site best control owner) for any activities needed regarding to best control,3/20/2012,0,,
64,116,osman.mm,1- Maintain the area around this construction after finalizing this upgrade 2-communicate with Mohamed Darwish (site best control owner) for any activities needed regarding to best control,3/20/2012,0,,
65,41,abdelkhalek.ma,i didnt get the close out of the project yet,3/20/2012,0,,
66,108,osman.mm,This CMR should be resend to M.Yasser who is the FC GBU QA manager,3/21/2012,0,,
67,77,osman.mm,We need to check if this flow meter is added to the calibration system or not.,3/21/2012,0,,
68,136,osman.mm,My understanding that this change will be in Fem Care ,hence this CMR should be resend to Mohamed Yasser FC QA manager,3/21/2012,0,,
69,119,salem.rs,Needed As built drawing for Current and the proposal of the Racks,3/23/2012,0,,
70,142,abouzyed.ms,please provide all details about this project with drawings.,3/24/2012,0,,
71,147,hazem.k,This is the first time I am notified about this project. Please on-board me on the idea before proceeding,,3/26/2012,0,,
72,95,yasser.m,completed form QA POV,3/27/2012,0,,
73,156,hassan.hy,Unfortunately we could not accept this EO As this compresssion streangth caused several crushing issues 2 years ago. Please send me the safety factor before compaction and the proposed safety factor . Also please not that currently with ship layers of baby care above the pallets which will make the situation much worest if we follow this CS reduction. As we have talked. Please let us set and show the safety factor befor the compaction and the proposed.,3/28/2012,0,,
74,111,elsisy.aa,I didn't recieve the updated P&ID yet,3/29/2012,0,,
75,154,osman.mm,1-Issuing and approve of the rebleng matrix for NPI WIP on CSS and to be approved by PS&RA, R&D, PR and QA. Regional QA will be consulted as well.  2-Reblend matrix need to match with the ingredients list on the AW. 3-Allowing the product traceability during the re-blend period. i.e. we should record which product and which date of production such reworked product has used. This traceability should be documented  4-The reblend matrix should not affect the product specifications (variables, attributes and standard samples for appearance and odor). 5-Issuing and approve from QA  CBA  for Handling the reblend process in the plant.6-100% of the concerned operators should be trained on both CBA 6-Line clearance check list should be issuing and reviewed with the QA during the process.(Part from the CBA)  7-The storage location of products must be identified and controlled to avoid wrong usage or mix-up and approved by QA 8-Making reason sheet must include the new reblend matrix.,7/13/2012,0,,
76,141,abdelkhalek.ma,i didnt get the protocol and close out and SOP not updated,4/4/2012,0,,
77,149,abdelkhalek.ma,i didnt recieve the close out ,4/4/2012,0,,
78,161,hassan.hy,1- Update the shut down SOP to add the new process.  2- Clean properly the new lines and ensure that no residues will go through the process. 3- The drain point should be the at the lowest point and the drain pipe should drain the material to the drain through funnel and should provise 3 cm air break between the drain pipe and the funnel that connected to drain. 4- Train all concerned operators on the new SOP.  ,5/22/2012,0,,
79,155,osman.mm,1-please determine the period that you will use the manual addition (fixing the automatic addition) 2-the addition list need to be revised by the shift leader (4 eyes check) 3- this addition document need to be part of the releasing system ( attached to the daily release documents) 4- The SOP need to updated to add the 4 eyes check and approved from QA 5-all concerned people need to qualified on this SOP 6-e-Learning system need to updated to add this new SOP-7 in the manual addition sheet you need to determine who is responsible to do this job 8- Dedicated P& Geer who will do this job as it is not allowed to contractor to has a role of the manual making or mixing 9- calibrated balance need to be available and dedicated for this process 10-Cleaning tool need to be available in this area to avoid any leakage comes from the manual addition,4/4/2012,0,,
80,150,osman.mm,1-Issuing validation protocol and approved by QA 2- Get the operation alignment and approval to avoid any end of line issue. 3-Determine the quantities of outer case you will use and the FPC affected 4-all product will still on hold till finalizing this trial and revised with the QA. 5-after succeeding of this trial need to change the IPMS for the affected IPMSs to be double wall instead of single wall.6- Issuing OOS release for the outer cases used in this trail.,4/4/2012,0,,
81,168,salem.rs,need to avoid the shedded pads removal timing and ensure that the area is empty before closing the road,4/5/2012,0,You can delete this CMR as we already use our barricaded area for lifting the deflector cover but with Higher tonage crane,but for the coming lines we should close the road,5/19/2012
82,91,osman.mm,Mousa it is already approved,4/5/2012,0,,
83,90,hassan.hy,Mousa please  check item # 7 & 8 and back to use with the status,4/5/2012,0,,
84,56,hassan.hy,Ahmed need to sit and review the status of this CMR,4/5/2012,0,,
85,172,abdelmegid.i,the scope is very very poor ,4/7/2012,0,,
86,57,elsisy.aa,I didn't get the requirments yet.,4/8/2012,0,,
87,151,elsisy.aa,I didn't get my requirments,4/8/2012,0,,
88,133,elsisy.aa,i didn't get the requirments,4/10/2012,0,,
89,171,mahmoud.m.2,we replaced the rolls in the machine with all safety requirement ,4/11/2012,0,,
90,182,elsisy.aa,the change is not clear,4/12/2012,0,,
91,185,hassan.hy,The light fixture inside the area should be covered. also the area should apply 5 S.,4/12/2012,0,,
92,182,osman.mm,Please we need more details regarding to this change to get the correct in-put,4/17/2012,-1,,
93,165,osman.mm,1- Issuing validation protocol for each SKUs affected 2-Get market approval and revise the new fill with the QA,4/17/2012,0,,
94,174,osman.mm,1-Issue EO protocol and revise it with QA team 2-Compliant COA for the icoming material 3-the supplier must be in the ASL for Cairo plant 4-issung close-out report for this trial,4/17/2012,0,,
95,176,osman.mm,1-Issuing Validation protocol for this change 2-revise and approve the validation protocol with the QA -3 Add the Validation protocol to the VMP -4 Inform the department QA & QC leader 5- this change not affect the end of line 6-Get the input from technology owner (engineering team)that this speed on that micron is fit for the M/C model and for this forming type 7-weight audit will conducted for all SKU 8- the validation will take place on three phases : commissioning phase on 1000 PPM max and qualification on the PPM average for this M/C on the last three months and the last phase is verification for 1 month.,4/17/2012,0,,
96,179,saadeldin.km,Where is this material stored on site ?,4/17/2012,0,,
97,179,saadeldin.km,Where is this material dumped ? What is the maximum capacity of the hoist ?,4/17/2012,0,,
98,182,mahmoud.m.2,I was put some pic. in the attached so could you please take a look in these pic , and the car just we use it in the repairing for the hoppers , and Karim saw it and he was try it by him self ,4/19/2012,0,,
99,190,hassan.hy,Get Mohamed Yasser final alignment,4/21/2012,0,,
100,173,osman.mm,1-Issue Validation protocol and approve it from the QA 2-Rivese the manual packing SOP to raise if we need another contractors for case count 3- PSG QA & QC should be informed 4-The validation protocol must be added to the department validation master plan.,4/22/2012,0,,
101,171,osman.mm,Mahmoud we need to discuss the QA input below before approving the CMR,4/22/2012,0,,
102,179,osman.mm,Mina we need to sit and discuss the impact of the MSG dumping process,4/22/2012,-1,,
103,94,osman.mm,Ahmed please Identify the status of the QA requirements below before approving the CMR,4/22/2012,0,,
104,179,elsisy.aa,I didn't get the required yet, 29th,apr,2012,4/29/2012,0,,
105,171,elsisy.aa,I didn't get the updated drawing yet.(29,Apr,2012),4/29/2012,0,,
106,159,elsisy.aa,I didn't get the required yet.(29,Apr,2012),4/29/2012,0,,
107,155,elsisy.aa,I didn't get the required yet.(29,Apr,2012),4/29/2012,0,,
108,139,elsisy.aa,I didn't get the required yet.(29,Apr,2012),4/29/2012,0,,
109,193,saadeldin.km,Ensure no sharp edges,4/29/2012,0,,
110,188,osman.mm,1-Issuing Validation protocol for this compression decreasing and approve it from QA 2-Ship test must be conducted to the Asiut and returned back to the plant for quality checks 3-OOS release for the outer cases delivered from supplier 4-Lab testing for this outer ceases for each pallet 5-the outer case will use in this validation should not exceed 150 to 160 compression and this will identified from the lab testing 6-the pallet exceed the 160 in compression must be executed from this trial 7- close out report must be revised and approved from QA 8- The maximum layer of the pallet should be followed (the extra layer from Pampers and Ariel should not be allowed and confirmed by the logistics team via mail),4/29/2012,0,,
111,181,yasser.m,Not yet started the project delayed,5/2/2012,0,,
112,177,osman.mm,1-Issuing Validation protocol for this change 2-revise and approve the validation protocol with the QA -3 Add the Validation protocol to the VMP -4 Inform the department QA & QC leader 5- this change not affect the end of line 6-Get the input from technology owner (engineering team)that this speed on that micron is fit for the M/C model and for this forming type 7-weight audit will conducted for all SKU 8- the validation will take place on three phases : commissioning phase on 1000 PPM max and qualification on the PPM average for this M/C on the last three months and the last phase is verification for 1 month.,5/2/2012,0,,
113,155,hassan.hy,As communicated with Ahmed Mousa this CMR will cancelled,5/6/2012,0,,
114,196,saadeldin.km,ensure no sharp edge,5/6/2012,0,,
115,207,elsisy.aa,I don't understand the change. please attach drawing to show it. Does the pestim will move slaid gate,...?,5/7/2012,0,,
116,208,osman.mm,Genedy can we sit for 30 min. tomorrow to discuss this chang on the floor,5/7/2012,-1,,
117,191,elsisy.aa,I need to descuss with you and get clarifecation.,5/7/2012,0,,
118,191,osman.mm,Ahmed please we need to sit and discuss this change,5/7/2012,0,,
119,210,abouzyed.ms,The penetrations in the fire wall lead to increase the severity in cases of fire, so we have to minimize the usage of this penetrations.,5/8/2012,0,,
120,210,abouzyed.ms,I propose to install the door within the HSD by decreasing the HSD width ( the personal door to be part from the current HSD),5/8/2012,0,,
121,209,abouzyed.ms,we have to wait till the door come to the site then repost the CMR,5/14/2012,0,,
122,220,yasser.m,no attachament provided with the change as written,5/14/2012,0,,
123,217,kamel.mm.2,Fixation of a fiber glass on top of the scoop machine to ensure that there is no contamination that can go into the scoops. This is a quality assurance must have.,5/15/2012,0,,
124,223,abdelaziz.ze,we need to set with us for meeting becouse i need to know some data,5/15/2012,0,,
125,191,elsisy.aa,According to the descusion with Ahmed Mousa, the scop of this Change has changed and need to suppmet new CMR.,5/15/2012,0,,
126,215,elsisy.aa,I need to get fall details. please invite to meeting.,5/15/2012,0,,
127,137,yasser.m,Done for QA and still reciving notfications,5/16/2012,0,,
128,134,yasser.m,Done for QA and still reciving notfications,5/16/2012,0,,
129,211,hassan.hy,Please communicate with Mohamed Yasser to get the input,5/16/2012,0,,
130,223,osman.mm,Amr please invite for design review meeting to discuss this changes ,5/16/2012,-1,,
131,231,osman.mm,The scope is not clear please we need to sit for 15 min. tomorrow to get the correct input.,5/16/2012,-1,,
132,231,ali.bb,Please we need to agree on the proper structural elements that will be used in order to execute this room.plz we need to align this before starting,5/16/2012,0,,
133,231,abouzyed.ms,please provide more details about that room to get the correct input,5/17/2012,0,,
134,229,saadeldin.km,Align with Global LCC Platform Owner,5/17/2012,0,,
135,214,saadeldin.km,Ergonomics study is critical as one of the success criteria of the EO,5/17/2012,0,,
136,231,elsisy.aa,I need to descuss the details with you. the Change is not cleare. it,s very important to know wate are you going to do in this workshop? will you suppmet dedecated CMR for work will be done in this workshop,or not?,5/17/2012,0,,
137,136,osman.mm,1-Isolate the work area 2--Clean the area and surrounding to prevent any spreading of sand, dust,  that could be pass inside the TSM / Fem care 3-Install Have hand dryer 4-Install washout sign ,5/17/2012,0,,
138,160,osman.mm,Abdelkarim please we need to see the lay out and conduct trail for buggy path through this area and we need to join,5/17/2012,0,,
139,237,abouzyed.ms,please provide the  EWB MSDS , and more details about the project.,5/17/2012,0,,
140,186,osman.mm,Please route this CMR to Mohamed Yasser FC GBU QA Manager,5/17/2012,0,,
141,228,osman.mm,Please we need to sit for short meeting next Sunday for more clarification, i tryed to call you but i can not reach you,5/17/2012,0,,
142,223,osman.mm,1-Determine the material flow for Mellie line ,VS400 and line 4 in one direction.2-The new department entrance need to discuss with QA as it is take the place of poly film of VS400 and UVA 350 line also the flow of the people is against the flow of the material so, we need to sit for review this proposal.3-Separate the old place of the scrap stations by cement wall to be the same as the existing wall of the department.4-The metal sheet will use to separate the project area from the operation area must be coved at the end to facilitate the cleaning process and should not have any spaces between this sheet and the floor.5-the allowable space between the storage racks and the wall must be not less than 50 cm with platform as existing in the old staging area.6-Changing the ceiling of the staging area as it damage and have many holes.7-Review the pest control map after the modifications.8-Detrmine the places on floor of the material pallets for VS400 and Mellie lines.,5/17/2012,0,,
143,228,saadeldin.km,Change Not Clear!!,5/20/2012,0,,
144,137,yasser.m,Done for QA and still reciving notfications,5/20/2012,0,,
145,181,yasser.m,Not yet started the project delayed,5/20/2012,0,,
146,134,yasser.m,Done for QA and still reciving notfications,5/20/2012,0,,
147,204,osman.mm,Get R&D Approval to allow the mix-up of the two materials ,5/20/2012,0,,
148,215,osman.mm,please invite to meeting.,5/20/2012,-1,,
149,223,elsisy.aa,need to clearafiy the details face to face. please invite for 5 miuts meeting.,5/21/2012,0,,
150,181,yasser.m,done for QA,5/21/2012,0,,
151,250,elsisy.aa,I need to know the quintity of the storage materials, the MSDS and the diminsions of the room for right input.,5/23/2012,0,,
152,225,elsisy.aa,I nee to 5 min, meeting,5/23/2012,0,,
153,250,ali.bb,I dont understand the scope, please illustrate.,5/23/2012,0,,
154,245,saadeldin.km,the change is not clear,5/23/2012,0,,
155,202,abdelazez.n,PVC not provaid,5/23/2012,0,,
156,182,abdelazez.n,JSP not provaid,5/23/2012,0,,
157,176,abdelazez.n,the CQV not provid,5/23/2012,0,,
158,173,abdelazez.n,the CQV not provid,5/23/2012,0,,
159,151,abdelazez.n,the DC messurment missing,5/23/2012,0,,
160,253,hassan.hy,1- Any work should be done in a way not affecting on Raw and packing materials or finished product. The isolation between the materials or the line must be revised before start with Central QA.  2- Follow clean design standerd in terms of findters that will be installed especially inside the departement. Please contact QA to share the plan and the design in specific.,5/24/2012,0,,
161,238,hassan.hy,1- Stop the packing operation and remove all R&PM and FP from the area. 2- Conduct IQ, OQ & PQ for the making unit. 3- Revise the detaled specification with the site Microbiologest to allign on the tank specification and ensure that we are comply with the latest 4- Inform Mohamed Sobhy the DC QA Leader and add this IQ, OQ and PQ protocol to the DC validation master plan. 5- Revise the reason behind this corrosion with R&D and identify the steps to avoid reoccurance. This steps must be aligned with central QA. 6- Welding must be orbetal welding and by qualified welder. 7- conduct a passavation process to remove welding remenemts. ,5/24/2012,0,,
162,253,elsisy.aa,any work have not affect on the equipments or the safety items,5/24/2012,0,,
163,254,abouzyed.ms,please provide more detailes and some pictures to get the correct input.,5/27/2012,0,,
164,238,shaker.mm,1-      2bkuuk3,5/27/2012,-1,,
165,238,shaker.mm,- Tanks must be cylindrical with dished head and bottom and fabricated from 316L SS,5/27/2012,-1,,
166,238,shaker.mm,All below requirements for micro should be acheived,5/27/2012,-1,,
167,238,shaker.mm,- Tanks must be cylindrical with dished head and bottom and fabricated from 316L SS,5/27/2012,0,,
168,247,osman.mm,1-The only concern is about the break/recreation area it should be closed and sealed and also need a special cleaning frequency.2- This area should be closed all the time and isolated from the operation area ( sifter area) with tow closed doors.3-The food should be in closed bags during the transportation from the sifter area,5/28/2012,-1,,
169,254,osman.mm,Please we need to know more about this change,5/28/2012,0,,
170,160,osman.mm,Abdelkarim we ask before to attend the trail for asses the space between the buggy and the finder which is not done so, i can not approve this CMR before attending this trail,5/29/2012,0,,
171,246,osman.mm,AbdelKarim please we need to sit and take about this change,5/29/2012,-1,,
172,261,elsisy.aa,only in open places and far from any row material or processes.,5/29/2012,0,,
173,258,elsisy.aa,I have some notes; 1- The PSS issued on 20,June, 2012 ?? the CMR is submitted on 28,5,2012. Please explain.  2- the PSS have to be in PDF formate.  3- the MSDS is wrong one- it's for solid or cris, but the Amino Oxide is liquid and the name is defrant.,6/20/2012,0,,
174,245,saadeldin.km,now the change is clear for me,5/30/2012,0,,
175,225,osman.mm,1-Issue EO protocol 2-The product should be scraped as there is no TS include this string 2-Using of blank/defaced packing material. 3-Assign someone detected for scraping of this product. 4-Review this EO protocol with QA team.5-Issuing summary report after finishing the trail.,5/30/2012,-1,,
176,245,osman.mm,The place of the salt and days should be as 5S standard ( yellow line for the pallet layout),5/31/2012,-1,,
177,263,osman.mm,AbdelKarim , i need to see this on floor and the timing as this is will take place during SD or during the operation run.,5/31/2012,-1,,
178,265,osman.mm,the change not clear (what do you mean by decrease the clean design) please call for more details.,5/31/2012,-1,,
179,271,abouelseoud.ma,Dear Omar, who will lead that project? who will take care of the assets being FADOed?,5/31/2012,0,AbouelSeoud, the Project will be leaded by Osamahassan Younis provided by Dina El badry & also she will take care of the Asset to be FADOed ,7/15/2012
180,271,elshrief.oa,it will not be FADOed it will be relocated,5/31/2012,0,,
181,253,shaker.mm,1- Protected area floors should have a non-shedding coated surface with a minimal number of appropriately sealed joints., 2- Area floor drains/trench drains should be limited with the absence of Manholes., 3- Floor surfaces should be as monolithic (continuous surface) as possible., 4- Floor joints, where necessary, should be as flush as possible and sealed with appropriate chemical resistive sealant., 5- Intersections between the floor surfaces and walls should be coved (have a minimum ? "integral curved radius transition) to facilitate thorough cleaning., 6- Minimum system (making / wet / fork-traffic areas, staging area) - 100% solids epoxy laminate system (1/8"), 7- Minimum system (non-making / dry / low-traffic areas) - Epoxy coating system (6 -10 mil DFT) or Resilient Sheet Vinyl.,5/31/2012,0,,
182,253,shaker.mm, ? "integral curved radius transition) to facilitate thorough cleaning., 6- Minimum system (making / wet / fork-traffic areas, staging area) - 100% solids epoxy laminate system (1/8"), 7- Minimum system (non-making / dry / low-traffic areas) - Epoxy coating system (6 -10 mil DFT) or Resilient Sheet Vinyl.,5/31/2012,-1,,
183,253,shaker.mm, ? "integral curved radius transition) to facilitate thorough cleaning., 6- Minimum system (making / wet / fork-traffic areas, staging area) - 100% solids epoxy laminate system (1/8"), 7- Minimum system (non-making / dry / low-traffic areas) - Epoxy coating system (6 -10 mil DFT) or Resilient Sheet Vinyl.,5/31/2012,0,,
184,175,osman.mm,1-Review and approve the EO prtocol from QA 2-COA compliance should be added to the success criteria,6/3/2012,0,,
185,263,osman.mm,1-Isolate the project work area to prevent any spreading contaminant 2-Inform department QA Leader,6/3/2012,0,,
186,160,abouzyed.ms,this change not impelemented till now .,6/4/2012,0,,
187,245,shaker.mm,1- Update Cleaning & Sanitization SOP to include intensive cleaning of the new area for colour weighing as it will be very close to making tank which is high risk in case of leakage & update CIL as well. 2- Use stainless steel pallet instead of metal pallet like the pallet for other perfume, dyes and salts. 3- Balance should be located in plan, stable & vibration free place to eliminate weighing errors. 4- what about the perfume barrel? I know that it is on the same pallet with colour pallet,6/4/2012,0,,
188,269,abouzyed.ms,provide layout for hoses ( before / after ) ,6/4/2012,0,,
189,258,elhadidi.my,Please share revised layout,6/4/2012,0,,
190,276,saadeldin.km,The isssue if the valve is closed , overpressure would happen,6/4/2012,0,,
191,262,hassan.hy,Follow the enterance requirements for,6/5/2012,0,,
192,278,alrashiedy.si,i need to know more details. how many many buggies are you testing these on? and on which dumping spots. During the shutdown we are repairing and changing most of the buggy wheels so it will not be possible. this had to be previously aligned,,6/5/2012,0,,
193,278,alrashiedy.si,we can not have the tag placed as per the attached picture because the buggy gates are opened in this area.,6/5/2012,0,,
194,278,alrashiedy.si,You have to agree on a timing with the launch team before any installation starts.,6/6/2012,0,,
195,278,abouzyed.ms,please identify the location of the readers and send asbuilt drawing to make sure there is no obstruction under the sprinkler system,6/6/2012,0,,
196,266,salem.rs,please clarify more to the Utilities team,6/6/2012,0,,
197,101,mahmoud.a,The required items not delivered yet,6/6/2012,0,,
198,134,salem.rs,The staris needs to painted black and yellow,6/6/2012,0,,
199,252,salem.rs,Room temperature should be between 18 ?C to 22 ?C and humidity should be < 60%,6/6/2012,0,,
200,278,hassan.hy,Please issue EO plan including the objective, the design plan, the responsibilities, the detailed sampling plan, process description and background, the success criteria and the approvels which should include QA. Engineering, GPS if applicable and PSG start up leader (Mohamed Mohi). This EO document should be approved before the trial. Also after the trial a summary report suld be issued and approved from same approvers. The summary report should include the conclusion, complience with EO plan, results versus success criteria and approvals.,6/7/2012,0,,
201,273,hassan.hy,1- The line should be Off and all materials are covered properly or returned pack to the staging area. 2- conduct intensive cleaning after the work for the area and the equipment before restart againg the production.,6/7/2012,0,,
202,265,hassan.hy,Any work like this will requires recalibration for the crutcher before restating.,6/7/2012,0,,
203,289,abouzyed.ms,please specify the exact location to get the correct input,6/8/2012,0,,
204,246,osman.mm,This is a CMR was issued instead of other one on the old system and can not get the old it from the system.,6/10/2012,-1,,
205,251,osman.mm,This CMR should be routed for approval from Mohamed Yasser,6/10/2012,0,,
